Time (s),Color,ROI Coordinates (x,y,w,h)
23.33,Red,(200, 55, 120, 320)
23.37,Red,(200, 55, 120, 320)
23.40,Red,(200, 55, 120, 320)
23.43,Red,(200, 55, 120, 320)
23.47,Red,(200, 55, 120, 320)
23.50,Red,(200, 55, 120, 320)
23.53,Red,(200, 55, 120, 320)
23.57,Red,(200, 55, 120, 320)
23.60,Red,(200, 55, 120, 320)
23.63,Red,(200, 55, 120, 320)
23.67,Red,(200, 55, 120, 320)
23.70,Red,(200, 55, 120, 320)
23.73,Red,(200, 55, 120, 320)
23.77,Red,(200, 55, 120, 320)
23.80,Red,(200, 55, 120, 320)
23.83,Red,(200, 55, 120, 320)
23.87,Red,(200, 55, 120, 320)
23.90,Red,(200, 55, 120, 320)
23.93,Red,(200, 55, 120, 320)
23.97,Red,(200, 55, 120, 320)
24.00,Red,(200, 55, 120, 320)
24.03,Red,(200, 55, 120, 320)
24.07,Red,(200, 55, 120, 320)
24.10,Red,(200, 55, 120, 320)
24.13,Red,(200, 55, 120, 320)
24.17,Red,(200, 55, 120, 320)
24.20,Red,(200, 55, 120, 320)
24.23,Red,(200, 55, 120, 320)
24.27,Red,(200, 55, 120, 320)
24.30,Red,(200, 55, 120, 320)
24.33,Red,(200, 55, 120, 320)
24.37,Red,(200, 55, 120, 320)
24.40,Red,(200, 55, 120, 320)
24.43,Red,(200, 55, 120, 320)
24.47,Red,(200, 55, 120, 320)
24.50,Red,(200, 55, 120, 320)
24.53,Red,(200, 55, 120, 320)
24.57,Red,(200, 55, 120, 320)
24.60,Red,(200, 55, 120, 320)
24.63,Red,(200, 55, 120, 320)
24.67,Red,(200, 55, 120, 320)
24.70,Red,(200, 55, 120, 320)
